time	close	high	low	open	volumeto	volumefrom
1522685040	7058.71	7069.63	7058.58	7068.47	107.54	761078.74
1522685100	7054.02	7058.87	7053.98	7058.71	61.12	436731.6
1522685160	7041.16	7054.02	7041.16	7054.02	71.36	504022.6
1522685220	7049.49	7050.28	7040.27	7041.16	113.18	796253.1
1522685280	7040.77	7050.06	7040.7	7049.49	57.86	409401
1522685340	7040.99	7041.41	7040.26	7040.77	42.89	304824.08
1522685400	7042.69	7043.83	7040.99	7040.99	62.2	439493.95
1522685460	7040.86	7043.28	7040.57	7041.25	33.6	241512.08
1522685520	7036.46	7040.86	7036.4	7040.86	60.34	425083.4
1522685580	7044.01	7045.32	7036.42	7036.46	61.43	435560.86
1522685640	7037.06	7044.42	7036.83	7044.01	54.13	381271.42
1522685700	7033.71	7037.09	7033.59	7037.06	82.61	582907.77
1522685760	7037.37	7037.75	7033.66	7033.66	31.57	223055.01
1522685820	7033.71	7037.5	7033.63	7037.37	22.37	157778.67
1522685880	7031.92	7033.78	7028.44	7033.42	91.77	644782.06
1522685940	7036.09	7036.39	7031.92	7031.92	41.22	289293.22
1522686000	7036.39	7037	7035.73	7036.09	46.95	334461.83
1522686060	7042.61	7042.61	7036.2	7036.35	61.89	434269.44
1522686120	7040.94	7045.29	7039.88	7043.76	67.39	481050.2
1522686180	7040.48	7040.8	7038.58	7040.77	23.99	169262.24
1522686240	7043.85	7043.85	7040.49	7040.49	81.8	577008.13
1522686300	7043.1	7045.92	7041.6	7043.85	95.5	671444.45
1522686360	7044.29	7044.72	7041.94	7043.1	55.09	388783.31
1522686420	7050.86	7050.86	7042.37	7044.48	33.17	233872.41
1522686480	7067.35	7067.84	7050.74	7050.86	134.48	954301.96
1522686540	7063.27	7068.28	7060.85	7067.35	88.23	623543.57
1522686600	7051.93	7063.93	7051.2	7062.92	73.51	518756.47
1522686660	7055.04	7055.43	7051.47	7051.88	33.17	235431.18
1522686720	7047.44	7055.56	7047.44	7054.4	45.02	317724.01
1522686780	7035.89	7046.44	7033.39	7046.44	55.11	389313.83
1522686840	7034.33	7038.28	7034.33	7037.1	41.46	293099.8
1522686900	7022.18	7034.27	7020.58	7034.11	276.07	1936185.66
1522686960	7016.88	7022.31	7011.13	7022.13	124.38	872695.76
1522687020	7018.18	7022.02	7016.88	7016.88	70.75	503830.89
1522687080	7022.52	7022.52	7015.19	7018.12	54.08	380635.58
1522687140	7020.14	7024.2	7016.24	7024.06	58.72	412408.84
1522687200	7014.18	7022.95	7011.93	7021.15	64.9	455781.37
1522687260	7013.36	7015.05	7012.07	7014.18	50.86	358700.9
1522687320	7015.68	7016.14	7011.91	7013.39	42.19	296608.3
1522687380	7018.6	7019.08	7013.13	7015.68	35.05	245710.35
1522687440	7021.49	7021.49	7015.48	7018.6	56.56	397442.83
1522687500	7022.27	7022.28	7019.53	7021.49	89.33	626882.01
