time	close	high	low	open	volumeto	volumefrom
1524800460	0.001644	0.001644	0.001643	0.001644	5914.14	9.72
1524800520	0.001644	0.001645	0.001644	0.001645	1273.69	2.1
1524800580	0.001641	0.001644	0.001641	0.001644	19602.41	32.15
1524800640	0.001643	0.001643	0.00164	0.001641	11292.88	18.54
1524800700	0.001645	0.001646	0.001641	0.001642	9174.66	15.08
1524800760	0.001648	0.001648	0.001645	0.001645	11152.35	18.38
1524800820	0.001646	0.001646	0.001645	0.001646	70516.64	116.07
1524800880	0.001645	0.001647	0.001645	0.001647	5428.32	8.93
1524800940	0.001642	0.001646	0.001642	0.001646	48391.69	79.43
1524801000	0.001642	0.001643	0.001642	0.001642	8300.47	13.63
1524801060	0.001644	0.001644	0.001642	0.001642	22942.57	37.67
1524801120	0.001644	0.001645	0.001644	0.001644	6028.45	9.91
1524801180	0.001644	0.001645	0.001644	0.001644	2705.77	4.45
1524801240	0.001643	0.001644	0.001643	0.001643	4338.95	7.13
1524801300	0.001642	0.001644	0.001642	0.001644	7020.83	11.53
1524801360	0.00164	0.001642	0.001639	0.001642	9930.68	16.28
1524801420	0.001639	0.00164	0.001637	0.00164	7144	11.7
1524801480	0.00164	0.00164	0.001638	0.001639	9392.16	15.4
1524801540	0.001641	0.001641	0.00164	0.00164	6729.37	11.03
1524801600	0.001641	0.001642	0.00164	0.001641	6458.22	10.6
1524801660	0.001642	0.001642	0.001641	0.001641	3529.38	5.79
1524801720	0.00164	0.001642	0.00164	0.001642	5941.65	9.75
1524801780	0.00164	0.001641	0.00164	0.00164	6721.78	11.02
1524801840	0.00164	0.00164	0.001639	0.00164	13443.22	22.06
1524801900	0.001642	0.001643	0.001641	0.001642	6448.84	10.59
1524801960	0.001645	0.001645	0.001643	0.001643	4935.47	8.13
1524802020	0.001647	0.001649	0.001646	0.001646	6477.58	10.67
1524802080	0.001647	0.001648	0.001645	0.001647	7845.03	12.91
1524802140	0.001645	0.001647	0.001644	0.001646	10941.02	18
1524802200	0.001646	0.001647	0.001644	0.001645	6166.76	10.14
