time	close	high	low	open	volumeto	volumefrom
1524800460	0.02308	0.02309	0.02307	0.02309	526.78	12.16
1524800520	0.02309	0.02309	0.02308	0.02308	669.22	15.45
1524800580	0.02308	0.02309	0.02305	0.02309	3381.57	77.95
1524800640	0.02309	0.02309	0.02305	0.02308	6410.14	148.07
1524800700	0.02311	0.02311	0.02306	0.02306	8210.53	189.62
1524800760	0.02315	0.02318	0.02311	0.02311	13593.59	314.7
1524800820	0.02315	0.02317	0.02312	0.02315	2435.32	56.37
1524800880	0.02313	0.02316	0.02312	0.02315	1744.56	40.36
1524800940	0.0231	0.02314	0.0231	0.02313	2446.09	56.46
1524801000	0.02309	0.0231	0.02307	0.0231	1008.49	23.28
1524801060	0.0231	0.0231	0.02307	0.02309	609.74	14.08
1524801120	0.0231	0.02311	0.02309	0.0231	2616.25	60.37
1524801180	0.02309	0.0231	0.02308	0.0231	1211.15	27.96
1524801240	0.02309	0.0231	0.02309	0.0231	1133.18	26.17
1524801300	0.02311	0.02311	0.02308	0.02308	1426.1	32.91
1524801360	0.02306	0.02311	0.02306	0.02311	2405	55.47
1524801420	0.02305	0.02306	0.02302	0.02306	2342.86	53.96
1524801480	0.02307	0.02308	0.02304	0.02305	6691.6	154.07
1524801540	0.02306	0.02308	0.02304	0.02306	3373.34	77.86
1524801600	0.02309	0.0231	0.02306	0.02306	4688.52	108.17
1524801660	0.02307	0.02309	0.02306	0.02309	6599.36	152.15
1524801720	0.02308	0.02308	0.02305	0.02306	4656.67	107.38
1524801780	0.02308	0.0231	0.02306	0.02308	6658.07	153.71
1524801840	0.02311	0.02311	0.02308	0.02308	11659.89	269.38
1524801900	0.02317	0.02317	0.02311	0.02311	2081.54	48.14
1524801960	0.02317	0.02318	0.02315	0.02317	2463.15	57.08
1524802020	0.0232	0.0232	0.02317	0.02317	3222.09	74.79
1524802080	0.02317	0.0232	0.02317	0.0232	1714.18	39.72
1524802140	0.02319	0.02319	0.02316	0.02317	4924.2	114.1
1524802200	0.02317	0.02319	0.02313	0.02319	2460.64	56.98
1524802260	0.02314	0.02318	0.02312	0.02318	1288.86	29.87
1524802320	0.02314	0.02316	0.02313	0.02314	3049.85	70.62
1524802380	0.02314	0.02315	0.02312	0.02315	1458.37	33.78
1524802440	0.02316	0.02316	0.02314	0.02314	3774.93	87.38
1524802500	0.02316	0.02316	0.02314	0.02316	1126.83	26.09
1524802560	0.02313	0.02316	0.02313	0.02314	1767.87	40.9
1524802620	0.02314	0.02315	0.02314	0.02314	841.01	19.48
1524802680	0.02316	0.02316	0.02315	0.02315	748.48	17.34
1524802740	0.02315	0.02316	0.02311	0.02316	3903.35	90.37
1524802800	0.02315	0.02315	0.02314	0.02315	290.91	6.74
1524802860	0.02315	0.02317	0.02313	0.02314	1493.22	34.57
1524802920	0.02316	0.02316	0.02315	0.02315	1354.55	31.36
1524802980	0.02316	0.02316	0.02315	0.02316	2969.25	68.74
1524803040	0.02316	0.02317	0.0231	0.02316	12111.53	279.92
1524803100	0.02319	0.02319	0.02316	0.02316	6678.34	154.8
1524803160	0.0232	0.0232	0.02317	0.0232	5223.51	121.12
1524803220	0.02321	0.02322	0.0232	0.0232	2180.67	50.62
1524803280	0.02321	0.02321	0.02321	0.02321	3291.64	76.39
1524803340	0.02321	0.02323	0.0232	0.02321	3284.75	76.28
1524803400	0.02322	0.02322	0.02319	0.02322	568.84	13.2
1524803460	0.0232	0.02321	0.02319	0.02321	374.87	8.69
1524803520	0.02321	0.02321	0.02319	0.02321	1238.36	28.72
1524803580	0.02318	0.0232	0.02318	0.0232	603.66	14
1524803640	0.02318	0.02318	0.02317	0.02318	1105.42	25.61
1524803700	0.02318	0.02319	0.02317	0.02318	817.48	18.96
1524803760	0.02317	0.02319	0.02317	0.02317	932.62	21.64
1524803820	0.02318	0.02319	0.02317	0.02317	931.83	21.6
1524803880	0.02319	0.02319	0.02318	0.02319	506.44	11.74
1524803940	0.02318	0.02319	0.02317	0.02319	854.3	19.83
1524804000	0.02316	0.02319	0.02314	0.02318	1336.01	30.94
1524804060	0.02316	0.02317	0.02316	0.02317	611.48	14.17
1524804120	0.02315	0.02317	0.02315	0.02317	654.37	15.16
1524804180	0.02316	0.02317	0.02314	0.02315	826.36	19.14
1524804240	0.02316	0.02317	0.02315	0.02316	3427.96	79.38
1524804300	0.02316	0.02317	0.02315	0.02317	5768.51	133.65
1524804360	0.02318	0.02318	0.02318	0.02318	3036.43	70.42
1524804420	0.02319	0.02319	0.02318	0.02318	3454.56	80.1
1524804480	0.0232	0.0232	0.02318	0.02319	2494.42	57.86
1524804540	0.0232	0.0232	0.02319	0.02319	2993.3	69.46
1524804600	0.02321	0.02321	0.0232	0.0232	2198.75	51.04
1524804660	0.02322	0.02322	0.02321	0.02321	1612.22	37.43
1524804720	0.02322	0.02324	0.02321	0.02322	1695.29	39.34
1524804780	0.02321	0.02322	0.02321	0.02322	3229.57	74.97
1524804840	0.02322	0.02324	0.02321	0.02323	2035.26	47.3
1524804900	0.02322	0.02324	0.02322	0.02322	8434.73	195.95
1524804960	0.02321	0.02322	0.02321	0.02322	1771.87	41.12
1524805020	0.02321	0.02322	0.0232	0.02321	2723.92	63.26
1524805080	0.02322	0.02322	0.0232	0.02321	1889.4	43.83
1524805140	0.02319	0.0232	0.02318	0.02319	1305.23	30.28
1524805200	0.02319	0.02321	0.02318	0.02321	981.74	22.77
1524805260	0.0232	0.02322	0.02319	0.02319	601.51	13.97
1524805320	0.02318	0.0232	0.02318	0.0232	1214.91	28.17
1524805380	0.02317	0.0232	0.02317	0.02318	630.53	14.62
1524805440	0.0232	0.02321	0.02318	0.02318	1033.93	23.99
1524805500	0.02319	0.02321	0.02319	0.0232	705.43	16.37
1524805560	0.0232	0.02321	0.02318	0.02319	592.64	13.75
1524805620	0.02321	0.02321	0.0232	0.0232	924.17	21.45
1524805680	0.02319	0.02321	0.02319	0.0232	919.5	21.34
1524805740	0.0232	0.02321	0.02319	0.02319	1241.17	28.81
1524805800	0.02319	0.0232	0.02318	0.0232	1447.1	33.59
1524805860	0.02321	0.02321	0.0232	0.02321	4991.86	115.84
1524805920	0.02323	0.02323	0.02321	0.02321	2456.48	57.02
1524805980	0.02324	0.02324	0.02323	0.02323	2479.92	57.6
1524806040	0.02322	0.02324	0.02322	0.02324	1178.26	27.35
1524806100	0.02321	0.02324	0.02319	0.02323	2632.91	61.09
1524806160	0.02321	0.02322	0.02321	0.02322	514.89	11.95
1524806220	0.02321	0.02322	0.02319	0.02321	2536.73	58.93
1524806280	0.02319	0.02322	0.02319	0.0232	543.29	12.61
1524806340	0.02319	0.02321	0.02318	0.02319	566.54	13.14
1524806400	0.02318	0.0232	0.02318	0.02319	1132.79	26.28
1524806460	0.02318	0.02321	0.02318	0.02318	658.9	15.28
1524806520	0.02317	0.02319	0.02317	0.02318	599.09	13.9
1524806580	0.02319	0.02319	0.02317	0.02317	1166.12	27.03
1524806640	0.02316	0.02318	0.02316	0.02318	643.75	14.91
1524806700	0.02316	0.02317	0.02315	0.02316	649.53	15.04
1524806760	0.02315	0.02317	0.02315	0.02315	747.61	17.31
1524806820	0.02315	0.02316	0.02315	0.02315	1153.04	26.7
1524806880	0.02316	0.02316	0.02315	0.02315	876.22	20.28
1524806940	0.02316	0.02316	0.02314	0.02316	879.8	20.38
1524807000	0.02317	0.02317	0.02315	0.02317	962.35	22.28
1524807060	0.02317	0.02317	0.02316	0.02316	1591.56	36.92
1524807120	0.02317	0.02319	0.02315	0.02319	396.5	9.19
1524807180	0.02317	0.02319	0.02316	0.02316	1233.46	28.57
1524807240	0.0232	0.0232	0.02316	0.02317	3478.08	80.52
1524807300	0.02318	0.0232	0.02317	0.0232	2474.4	57.37
