time	close	high	low	open	volumeto	volumefrom
1524800460	0.07118	0.07118	0.07115	0.07116	253.46	18.05
1524800520	0.07119	0.07119	0.07115	0.07118	262.76	18.71
1524800580	0.07117	0.07119	0.07116	0.07119	370.67	26.38
1524800640	0.07114	0.07118	0.07113	0.07117	399.39	28.4
1524800700	0.07116	0.07119	0.07114	0.07114	501.2	35.64
1524800760	0.07117	0.07118	0.07115	0.07118	409.23	29.14
1524800820	0.07116	0.07119	0.07116	0.07117	296.46	21.11
1524800880	0.07118	0.07118	0.07113	0.07116	149.2	10.62
1524800940	0.07118	0.07119	0.07116	0.07118	212.12	15.09
1524801000	0.07117	0.0712	0.07116	0.07118	318.08	22.64
1524801060	0.07118	0.07119	0.07115	0.07117	412.25	29.32
1524801120	0.07116	0.0712	0.07115	0.07118	384.83	27.4
1524801180	0.0711	0.07117	0.0711	0.07115	301.07	21.41
1524801240	0.07112	0.07114	0.0711	0.07111	177.58	12.63
1524801300	0.07114	0.07115	0.07112	0.07112	234.53	16.67
1524801360	0.07115	0.07118	0.07114	0.07114	306.73	21.81
1524801420	0.07114	0.07116	0.07113	0.07115	215.32	15.32
1524801480	0.0711	0.07118	0.0711	0.07114	783.3	55.68
1524801540	0.07108	0.07112	0.07108	0.0711	487.76	34.64
1524801600	0.0711	0.0711	0.07107	0.07108	343.38	24.41
1524801660	0.07108	0.07111	0.07107	0.0711	263.19	18.71
1524801720	0.07107	0.07111	0.07105	0.07108	615.56	43.76
1524801780	0.07105	0.07108	0.07104	0.07107	488.31	34.68
1524801840	0.07104	0.07105	0.07101	0.07105	581.52	41.3
1524801900	0.07106	0.07107	0.07102	0.07104	239.67	17.03
1524801960	0.07107	0.07108	0.07104	0.07106	298.95	21.23
1524802020	0.07103	0.07107	0.07101	0.07107	275.19	19.55
1524802080	0.07106	0.07107	0.07103	0.07103	376.27	26.73
1524802140	0.071	0.07107	0.07099	0.07106	547.31	38.83
1524802200	0.071	0.07103	0.07095	0.071	292.22	20.75
1524802260	0.07099	0.07102	0.07097	0.07101	275.9	19.6
1524802320	0.07099	0.07104	0.07099	0.07101	187.55	13.32
1524802380	0.07103	0.07104	0.07097	0.07099	109.97	7.81
1524802440	0.07098	0.07104	0.07098	0.07103	338.02	24
1524802500	0.07097	0.07099	0.07094	0.07098	324.87	23.07
1524802560	0.07101	0.07102	0.07098	0.071	335.3	23.82
1524802620	0.071	0.07101	0.07096	0.07101	306.47	21.77
1524802680	0.07105	0.07106	0.071	0.071	332.69	23.64
1524802740	0.07098	0.07103	0.07097	0.07103	157.81	11.21
1524802800	0.071	0.07101	0.07096	0.07098	190.83	13.54
1524802860	0.07095	0.07102	0.07093	0.071	232.23	16.46
1524802920	0.07094	0.07096	0.07092	0.07094	427.31	30.32
1524802980	0.07096	0.07098	0.07094	0.07095	294.01	20.87
1524803040	0.07097	0.07099	0.07094	0.07095	256.34	18.2
1524803100	0.071	0.071	0.07096	0.07098	189.76	13.47
1524803160	0.07097	0.07102	0.07097	0.07101	227.81	16.18
1524803220	0.071	0.071	0.07095	0.07096	195.45	13.88
1524803280	0.07099	0.07102	0.07097	0.07102	232.36	16.5
1524803340	0.07102	0.07106	0.07101	0.07102	652.36	46.39
1524803400	0.07104	0.07105	0.07102	0.07103	277.57	19.73
1524803460	0.07105	0.0711	0.07104	0.07105	369.45	26.27
1524803520	0.07103	0.07107	0.07103	0.07104	256.49	18.22
1524803580	0.07102	0.07105	0.07101	0.07103	317.15	22.51
1524803640	0.07103	0.07108	0.07102	0.07104	289.52	20.57
1524803700	0.07109	0.07109	0.07102	0.07103	710.19	50.48
1524803760	0.07108	0.07112	0.07102	0.07108	465.19	33.07
1524803820	0.07101	0.0711	0.071	0.07107	354.04	25.15
1524803880	0.07104	0.07108	0.07101	0.07101	326.41	23.2
1524803940	0.07105	0.07106	0.07103	0.07105	214.15	15.23
1524804000	0.0711	0.07112	0.07105	0.07105	472.18	33.57
1524804060	0.0711	0.07112	0.07105	0.0711	317.49	22.57
1524804120	0.07111	0.07113	0.07109	0.0711	416.62	29.62
1524804180	0.07109	0.07115	0.07108	0.07111	638.74	45.41
1524804240	0.07108	0.07112	0.07107	0.07109	768.78	54.61
1524804300	0.07107	0.0711	0.07106	0.07108	327.51	23.28
1524804360	0.07106	0.07107	0.07104	0.07107	204.68	14.55
1524804420	0.07108	0.07109	0.07106	0.07106	450.8	32.04
1524804480	0.07109	0.07112	0.07109	0.07109	240.46	17.11
1524804540	0.07108	0.0711	0.07107	0.07109	604.38	42.97
1524804600	0.0711	0.07111	0.07107	0.07108	323.74	23.01
1524804660	0.0711	0.07112	0.07109	0.07111	306.11	21.77
1524804720	0.07112	0.07114	0.07109	0.0711	1068.33	75.95
1524804780	0.07108	0.07113	0.07107	0.07111	750.88	53.31
1524804840	0.07111	0.07111	0.07107	0.07107	267.05	18.99
1524804900	0.07111	0.07113	0.0711	0.07111	563.44	40.05
1524804960	0.07111	0.07113	0.07109	0.07111	442.01	31.42
1524805020	0.07112	0.07112	0.0711	0.07111	461.05	32.79
1524805080	0.07111	0.07112	0.07109	0.07112	524.2	37.27
1524805140	0.07113	0.07113	0.07111	0.07111	499.21	35.49
1524805200	0.07113	0.07114	0.07111	0.07114	369.42	26.27
1524805260	0.07116	0.07117	0.07112	0.07113	319.69	22.74
1524805320	0.07115	0.07116	0.07113	0.07116	658.01	46.8
1524805380	0.07114	0.07117	0.07114	0.07115	553.66	39.38
1524805440	0.0712	0.07123	0.07113	0.07114	347.45	24.71
1524805500	0.07119	0.07122	0.07118	0.0712	425.48	30.29
1524805560	0.07117	0.0712	0.07117	0.07118	229.72	16.36
1524805620	0.07119	0.07119	0.07116	0.07117	379.56	27
1524805680	0.0712	0.07121	0.07118	0.07119	248.05	17.64
1524805740	0.07117	0.07119	0.07114	0.07119	469.5	33.39
